,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
21,Cananea,MX,2023-01-10 21:47:19,30.95,-110.3,66.54,18,100,9.08
22,Waipawa,NZ,2023-01-10 21:47:19,-41.4122,175.5153,56.86,97,100,19.44
23,Yellowknife,CA,2023-01-10 21:47:19,62.456,-114.3525,12.72,92,100,8.05
24,Tabou,CI,2023-01-10 21:47:20,4.423,-7.3528,79.52,85,6,7.18
25,Floresta,BR,2023-01-10 21:47:20,-8.6011,-38.5686,89.2,27,82,9.89
26,Sitka,US,2023-01-10 21:47:20,57.0531,-135.33,39.09,70,40,0.0
27,Kupang,ID,2023-01-10 21:47:20,-10.1667,123.5833,75.78,100,75,5.75
28,Jaunjelgava,LV,2023-01-10 21:47:21,56.6167,25.0833,32.14,94,100,7.96
29,Yaqui,MX,2023-01-10 21:47:21,27.3667,-110.1667,81.48,18,91,11.3
30,Half Moon Bay,US,2023-01-10 21:45:23,37.4636,-122.4286,59.05,76,20,21.85
31,Jamestown,US,2023-01-10 21:42:31,42.097,-79.2353,36.18,46,100,0.0
32,Victoria,HK,2023-01-10 21:45:11,22.2855,114.1577,64.94,93,99,1.99
33,Albany,US,2023-01-10 21:47:22,42.6001,-73.9662,33.67,69,76,5.21
34,Cape Town,ZA,2023-01-10 21:42:39,-33.9258,18.4232,66.9,74,0,10.36
35,Huilong,CN,2023-01-10 21:47:22,31.8111,121.655,38.93,86,0,6.69
36,Punta Arenas,CL,2023-01-10 21:45:07,-53.15,-70.9167,57.31,58,0,13.8
37,Wageningen,NL,2023-01-10 21:47:23,51.9667,5.6667,48.85,94,100,16.11
38,Lagoa,PT,2023-01-10 21:47:23,39.05,-27.9833,59.14,62,75,7.58
39,Port Shepstone,ZA,2023-01-10 21:47:23,-30.7414,30.455,73.18,93,29,12.15
40,Vao,NC,2023-01-10 21:47:23,-22.6667,167.4833,76.19,68,27,15.46
41,Butaritari,KI,2023-01-10 21:47:24,3.0707,172.7902,81.12,76,8,15.41
42,Ponta Do Sol,PT,2023-01-10 21:47:24,32.6667,-17.1,65.03,74,11,4.09
43,Alofi,NU,2023-01-10 21:47:24,-19.0595,-169.9187,82.29,83,100,8.05
44,Tailai,CN,2023-01-10 21:47:26,46.3833,123.4,12.58,88,76,7.23
45,Codrington,AU,2023-01-10 21:47:26,-38.2667,141.9667,66.02,71,4,9.26
46,Chokurdakh,RU,2023-01-10 21:47:26,70.6333,147.9167,-48.82,100,73,1.43
47,Mar Del Plata,AR,2023-01-10 21:47:27,-38.0023,-57.5575,74.82,83,0,20.71
48,Barrow,US,2023-01-10 21:48:27,71.2906,-156.7887,-12.98,77,0,18.41
49,San Patricio,US,2023-01-10 21:48:27,28.017,-97.5169,82.49,46,0,8.25
50,Hasaki,JP,2023-01-10 21:48:28,35.7333,140.8333,28.8,45,5,6.22
51,Gazipur,BD,2023-01-10 21:48:28,23.9981,90.423,66.16,72,0,5.75
52,Ushuaia,AR,2023-01-10 21:45:10,-54.8,-68.3,60.46,48,20,16.11
53,Khatanga,RU,2023-01-10 21:48:28,71.9667,102.5,-30.73,97,100,9.98
54,Souillac,MU,2023-01-10 21:48:29,-20.5167,57.5167,77.38,88,75,13.8
55,Hermanus,ZA,2023-01-10 21:48:29,-34.4187,19.2345,65.41,76,90,4.12
56,Turayf,SA,2023-01-10 21:48:30,31.6725,38.6637,41.25,81,0,3.44
57,Brae,GB,2023-01-10 21:48:30,60.3964,-1.353,44.76,94,100,28.05
58,Jiuquan,CN,2023-01-10 21:48:31,39.7432,98.5174,23.29,38,80,4.07
59,Kavieng,PG,2023-01-10 21:48:31,-2.5744,150.7967,82.38,73,100,4.21
60,Uyuni,BO,2023-01-10 21:48:31,-20.4597,-66.825,62.02,9,1,8.55
61,Chachapoyas,PE,2023-01-10 21:48:31,-6.2317,-77.869,61.63,82,85,2.13
62,Morristown,US,2023-01-10 21:48:32,36.214,-83.2949,52.5,55,0,9.22
63,Kapaa,US,2023-01-10 21:48:32,22.0752,-159.319,80.92,69,20,5.75
64,Qaanaaq,GL,2023-01-10 21:48:32,77.484,-69.3632,-15.47,99,100,1.48
65,Cayenne,GF,2023-01-10 21:47:56,4.9333,-52.3333,75.24,88,75,4.61
66,Tiksi,RU,2023-01-10 21:48:33,71.6872,128.8694,-36.44,100,100,3.87
67,Cap Malheureux,MU,2023-01-10 21:48:33,-19.9842,57.6142,78.48,73,6,5.01
68,Kapit,MY,2023-01-10 21:48:33,2.0167,112.9333,71.31,98,97,0.87
69,Nhulunbuy,AU,2023-01-10 21:48:34,-12.2333,136.7667,81.21,94,100,5.75
70,Praia,CV,2023-01-10 21:48:34,14.9215,-23.5087,73.94,78,20,21.85
71,Vaini,TO,2023-01-10 21:48:34,-21.2,-175.2,86.16,84,40,10.36
72,Vestmannaeyjar,IS,2023-01-10 21:48:35,63.4427,-20.2734,37.9,73,100,10.92
73,Hadejia,NG,2023-01-10 21:48:35,12.4498,10.0444,65.8,25,9,10.02
74,Saint-Augustin,CA,2023-01-10 21:48:35,51.226,-58.6502,10.18,80,100,11.05
75,Georgetown,MY,2023-01-10 21:46:12,5.4112,100.3354,78.73,93,20,5.75
76,Honningsvag,NO,2023-01-10 21:48:36,70.9821,25.9704,29.95,80,75,13.8
77,Atuona,PF,2023-01-10 21:48:36,-9.8,-139.0333,79.07,67,4,13.49
78,Demirci,TR,2023-01-10 21:48:36,39.0461,28.6589,43.16,86,100,10.94
79,Bambanglipuro,ID,2023-01-10 21:48:36,-7.95,110.2833,75.72,87,100,1.19
80,East London,ZA,2023-01-10 21:44:28,-33.0153,27.9116,74.17,90,7,2.64
81,Arraial Do Cabo,BR,2023-01-10 21:48:37,-22.9661,-42.0278,76.96,88,75,6.91
82,Dayong,CN,2023-01-10 21:48:37,25.0209,118.2898,59.88,89,100,2.04
83,Sept-Iles,CA,2023-01-10 21:44:46,50.2001,-66.3821,12.2,60,100,9.22
